id,name,address,lat,lng,locality,hours,contact,accepted,is_active,last_verified_at,source
ecolecta-titan,Ecolecta Titán Plaza,Carrera 72 No. 80-94 Piso 3,4.6948,-74.0864,Engativá,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-centro-mayor,Ecolecta Centro Mayor,Autopista Sur No. 38A-00,4.5919,-74.1237,Antonio Nariño,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-hayuelos,Ecolecta Hayuelos,Calle 20 No. 82-52,4.6628,-74.1295,Fontibón,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-americas,Ecolecta Plaza de las Américas,Transversal 71D No. 6-94 Sur,4.6186,-74.1355,Kennedy,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-unilago,Ecolecta Unilago,Carrera 15 No. 78-33,4.6649,-74.0548,Chapinero,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-cc93,Ecolecta Centro Comercial 93,Carrera 15 No. 93-60,4.6764,-74.0478,Chapinero,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-unicentro-occ,Ecolecta Unicentro de Occidente,Carrera 111A No. 86-74,4.7102,-74.1115,Engativá,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-panama,Ecolecta Centro Comercial Panamá,Diagonal 182 No. 20-91,4.761,-74.0438,Usaquén,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-bulevar,Ecolecta Bulevar Niza,Avenida Carrera 58 No. 127-59,4.7112,-74.0718,Suba,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-diverplaza,Ecolecta Diver Plaza,Transversal 99 Bis No. 70A-89,4.6908,-74.1148,Engativá,Horario del centro comercial,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-sda,Ecolecta Secretaría de Ambiente,Avenida Caracas No. 54-38,4.6442,-74.0638,Teusaquillo,Lun–Vie 8:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-cad,Ecolecta SuperCADE CAD,Carrera 30 No. 25-90,4.6234,-74.0842,Teusaquillo,Lun–Sáb 7:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-suba-sc,Ecolecta SuperCADE Suba,Avenida Calle 145 No. 103B-90,4.7488,-74.0886,Suba,Lun–Sáb 7:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-bosa-sc,Ecolecta SuperCADE Bosa,Avenida Calle 57R Sur No. 72D-12,4.5952,-74.1818,Bosa,Lun–Sáb 7:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-americas-sc,Ecolecta SuperCADE Américas,Avenida Carrera 86 No. 43-55 Sur,4.6278,-74.1558,Kennedy,Lun–Sáb 7:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-20julio,Ecolecta SuperCADE 20 de Julio,Carrera 5A No. 30D-20 Sur,4.5784,-74.0872,San Cristóbal,Lun–Sáb 7:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
ecolecta-calle13,Ecolecta SuperCADE Calle 13,Calle 13 No. 37-35,4.6142,-74.0941,Puente Aranda,Lun–Sáb 7:00–17:00,,phones|tablets|chargers|headphones|tvs|printers|cables|peripherals|small_appliances,true,2026-09-08,Ecolecta
